,benchmark,base,greedy1_ln,greedy2_ln,benchmark,base,greedy1_ln,greedy2_ln,benchmark,base,greedy1_ln,greedy2_ln
0,benchmark://mm64_256_16_range-v0/mm64_160_112,20.76853370666504,21.09243392944336,,benchmark://mm64_256_16_range-v0/mm64_160_112,0.4891481399536133,2.007192373275757,3.1283085346221924,benchmark://mm64_256_16_range-v0/mm64_160_112,,"['split_16', 'split_4', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up']",failed
0,benchmark://mm64_256_16_range-v0/mm64_160_128,28.819067001342773,,,benchmark://mm64_256_16_range-v0/mm64_160_128,0.31720852851867676,3.088270425796509,3.201416254043579,benchmark://mm64_256_16_range-v0/mm64_160_128,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_160_144,28.57286834716797,,,benchmark://mm64_256_16_range-v0/mm64_160_144,0.38515806198120117,3.201406240463257,3.201399803161621,benchmark://mm64_256_16_range-v0/mm64_160_144,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_160_160,27.715469360351562,28.25972557067871,,benchmark://mm64_256_16_range-v0/mm64_160_160,0.3178877830505371,2.3312954902648926,3.2013802528381348,benchmark://mm64_256_16_range-v0/mm64_160_160,,"['split_8', 'split_8', 'swap_down', 'split_8', 'up', 'swap_down', 'up', 'swap_down', 'up', 'swap_down']",failed
0,benchmark://mm64_256_16_range-v0/mm64_160_176,20.235563278198242,28.609708786010742,,benchmark://mm64_256_16_range-v0/mm64_160_176,0.43880176544189453,2.702319383621216,3.201399326324463,benchmark://mm64_256_16_range-v0/mm64_160_176,,"['split_16', 'split_4', 'swap_down', 'split_4', 'up', 'swap_down', 'up', 'swap_down', 'up', 'swap_down']",failed
0,benchmark://mm64_256_16_range-v0/mm64_160_192,22.42681121826172,,,benchmark://mm64_256_16_range-v0/mm64_160_192,0.5855531692504883,3.201402187347412,3.2004551887512207,benchmark://mm64_256_16_range-v0/mm64_160_192,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_160_208,28.85190773010254,,,benchmark://mm64_256_16_range-v0/mm64_160_208,0.6971023082733154,3.2014153003692627,3.201387405395508,benchmark://mm64_256_16_range-v0/mm64_160_208,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_160_224,23.20233917236328,,,benchmark://mm64_256_16_range-v0/mm64_160_224,0.611142635345459,3.201380729675293,3.2013955116271973,benchmark://mm64_256_16_range-v0/mm64_160_224,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_160_240,20.25516700744629,,,benchmark://mm64_256_16_range-v0/mm64_160_240,0.9140620231628418,3.2013888359069824,3.2013461589813232,benchmark://mm64_256_16_range-v0/mm64_160_240,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_160_256,17.499073028564453,,,benchmark://mm64_256_16_range-v0/mm64_160_256,0.707036018371582,3.201401948928833,3.201354742050171,benchmark://mm64_256_16_range-v0/mm64_160_256,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_176_64,29.597076416015625,,,benchmark://mm64_256_16_range-v0/mm64_176_64,0.9189050197601318,3.2013816833496094,3.2013888359069824,benchmark://mm64_256_16_range-v0/mm64_176_64,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_176_80,29.47871208190918,,,benchmark://mm64_256_16_range-v0/mm64_176_80,1.1095852851867676,3.201327085494995,3.201429843902588,benchmark://mm64_256_16_range-v0/mm64_176_80,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_176_96,29.401124954223633,,,benchmark://mm64_256_16_range-v0/mm64_176_96,0.8311402797698975,3.2013742923736572,3.201389789581299,benchmark://mm64_256_16_range-v0/mm64_176_96,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_176_112,29.33913230895996,,,benchmark://mm64_256_16_range-v0/mm64_176_112,0.6109132766723633,3.201390504837036,3.2014000415802,benchmark://mm64_256_16_range-v0/mm64_176_112,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_176_128,28.60414695739746,,,benchmark://mm64_256_16_range-v0/mm64_176_128,0.6122503280639648,3.2014310359954834,3.201385259628296,benchmark://mm64_256_16_range-v0/mm64_176_128,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_176_144,20.626888275146484,,,benchmark://mm64_256_16_range-v0/mm64_176_144,0.7685766220092773,3.2013914585113525,3.2013843059539795,benchmark://mm64_256_16_range-v0/mm64_176_144,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_176_160,28.757848739624023,,,benchmark://mm64_256_16_range-v0/mm64_176_160,0.6762595176696777,3.2014009952545166,3.2014002799987793,benchmark://mm64_256_16_range-v0/mm64_176_160,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_176_176,28.80609130859375,,,benchmark://mm64_256_16_range-v0/mm64_176_176,0.7729144096374512,3.2013933658599854,3.0213875770568848,benchmark://mm64_256_16_range-v0/mm64_176_176,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_176_192,28.60584831237793,,,benchmark://mm64_256_16_range-v0/mm64_176_192,0.7617976665496826,3.2013869285583496,3.201420545578003,benchmark://mm64_256_16_range-v0/mm64_176_192,,failed,failed
